Strike Type,Total Trades,Filtered Trades,Winning Trades,Filtering Efficiency,Un-Filtered P&L,Filtered P&L,Win Rate,expiry_week,day_label,data_type
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB03_DYNAMIC,FEB03,DYNAMIC
DYNAMIC_ATM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB03_DYNAMIC,FEB03,DYNAMIC
DYNAMIC_OTM,10,9,6,90.0%,230.51%,246.81%,66.7%,JAN20_DYNAMIC,JAN20,DYNAMIC
DYNAMIC_ATM,12,11,6,91.7%,170.23%,170.23%,54.5%,JAN20_DYNAMIC,JAN20,DYNAMIC
DYNAMIC_OTM,10,9,4,90.0%,-7.40%,-18.51%,44.4%,FEB10_DYNAMIC,FEB10,DYNAMIC
DYNAMIC_ATM,13,10,4,76.9%,-5.05%,-5.05%,40.0%,FEB10_DYNAMIC,FEB10,DYNAMIC
DYNAMIC_OTM,4,4,2,100.0%,28.29%,28.29%,50.0%,FEB17_DYNAMIC,FEB17,DYNAMIC
DYNAMIC_ATM,3,2,2,66.7%,55.29%,55.29%,100.0%,FEB17_DYNAMIC,FEB17,DYNAMIC
DYNAMIC_OTM,10,7,4,70.0%,24.42%,19.49%,57.1%,DEC09_DYNAMIC,DEC09,DYNAMIC
DYNAMIC_ATM,15,3,1,20.0%,5.48%,6.24%,33.3%,DEC09_DYNAMIC,DEC09,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,OCT20_DYNAMIC,OCT20,DYNAMIC
DYNAMIC_ATM,13,12,7,92.3%,-19.96%,-19.96%,58.3%,OCT20_DYNAMIC,OCT20,DYNAMIC
DYNAMIC_OTM,3,2,1,66.7%,-16.18%,9.67%,50.0%,JAN13_DYNAMIC,JAN13,DYNAMIC
DYNAMIC_ATM,10,4,1,40.0%,23.40%,23.40%,25.0%,JAN13_DYNAMIC,JAN13,DYNAMIC
DYNAMIC_OTM,7,5,2,71.4%,135.24%,135.24%,40.0%,JAN27_DYNAMIC,JAN27,DYNAMIC
DYNAMIC_ATM,8,7,5,87.5%,166.15%,166.15%,71.4%,JAN27_DYNAMIC,JAN27,DYNAMIC
DYNAMIC_OTM,13,3,2,23.1%,-103.69%,-19.45%,66.7%,NOV25_DYNAMIC,NOV25,DYNAMIC
DYNAMIC_ATM,13,12,5,92.3%,68.34%,68.34%,41.7%,NOV25_DYNAMIC,NOV25,DYNAMIC
DYNAMIC_OTM,10,5,3,50.0%,11.99%,8.97%,60.0%,NOV04_DYNAMIC,NOV04,DYNAMIC
DYNAMIC_ATM,18,0,0,0.0%,3.48%,0.00%,0.0%,NOV04_DYNAMIC,NOV04,DYNAMIC
DYNAMIC_OTM,15,13,3,86.7%,-5.94%,-17.57%,23.1%,NOV11_DYNAMIC,NOV11,DYNAMIC
DYNAMIC_ATM,15,11,2,73.3%,-3.82%,-15.73%,18.2%,NOV11_DYNAMIC,NOV11,DYNAMIC
DYNAMIC_OTM,7,7,4,100.0%,95.51%,95.51%,57.1%,OCT28_DYNAMIC,OCT28,DYNAMIC
DYNAMIC_ATM,10,8,5,80.0%,106.93%,106.93%,62.5%,OCT28_DYNAMIC,OCT28,DYNAMIC
DYNAMIC_OTM,10,8,4,80.0%,6.18%,6.18%,50.0%,NOV18_DYNAMIC,NOV18,DYNAMIC
DYNAMIC_ATM,15,9,4,60.0%,1.27%,-10.69%,44.4%,NOV18_DYNAMIC,NOV18,DYNAMIC
