Strike Type,Total Trades,Filtered Trades,Winning Trades,Filtering Efficiency,Un-Filtered P&L,Filtered P&L,Win Rate,expiry_week,day_label,data_type
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB17_DYNAMIC,FEB17,DYNAMIC
DYNAMIC_ATM,3,2,2,66.7%,55.29%,55.29%,100.0%,FEB17_DYNAMIC,FEB17,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB03_DYNAMIC,FEB03,DYNAMIC
DYNAMIC_ATM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB03_DYNAMIC,FEB03,DYNAMIC
DYNAMIC_OTM,8,8,4,100.0%,25.91%,25.91%,50.0%,FEB10_DYNAMIC,FEB10,DYNAMIC
DYNAMIC_ATM,13,10,4,76.9%,-5.05%,-5.05%,40.0%,FEB10_DYNAMIC,FEB10,DYNAMIC
DYNAMIC_OTM,10,10,6,100.0%,227.45%,227.45%,60.0%,JAN20_DYNAMIC,JAN20,DYNAMIC
DYNAMIC_ATM,11,10,5,90.9%,167.90%,167.90%,50.0%,JAN20_DYNAMIC,JAN20,DYNAMIC
DYNAMIC_OTM,7,5,2,71.4%,135.24%,135.24%,40.0%,JAN27_DYNAMIC,JAN27,DYNAMIC
DYNAMIC_ATM,8,7,5,87.5%,166.15%,166.15%,71.4%,JAN27_DYNAMIC,JAN27,DYNAMIC
DYNAMIC_OTM,6,5,1,83.3%,-13.35%,-13.35%,20.0%,JAN13_DYNAMIC,JAN13,DYNAMIC
DYNAMIC_ATM,10,4,1,40.0%,23.40%,23.40%,25.0%,JAN13_DYNAMIC,JAN13,DYNAMIC
DYNAMIC_OTM,14,8,4,57.1%,-35.00%,-35.00%,50.0%,NOV25_DYNAMIC,NOV25,DYNAMIC
DYNAMIC_ATM,13,12,5,92.3%,68.34%,68.34%,41.7%,NOV25_DYNAMIC,NOV25,DYNAMIC
DYNAMIC_OTM,10,8,4,80.0%,5.18%,5.18%,50.0%,NOV18_DYNAMIC,NOV18,DYNAMIC
DYNAMIC_ATM,15,9,4,60.0%,1.27%,-10.69%,44.4%,NOV18_DYNAMIC,NOV18,DYNAMIC
DYNAMIC_OTM,11,11,5,100.0%,22.45%,22.45%,45.5%,DEC09_DYNAMIC,DEC09,DYNAMIC
DYNAMIC_ATM,14,3,1,21.4%,9.72%,6.24%,33.3%,DEC09_DYNAMIC,DEC09,DYNAMIC
DYNAMIC_OTM,14,13,4,92.9%,2.55%,2.55%,30.8%,NOV11_DYNAMIC,NOV11,DYNAMIC
DYNAMIC_ATM,14,10,2,71.4%,-0.40%,-12.31%,20.0%,NOV11_DYNAMIC,NOV11,DYNAMIC
DYNAMIC_OTM,8,8,5,100.0%,13.18%,13.18%,62.5%,NOV04_DYNAMIC,NOV04,DYNAMIC
DYNAMIC_ATM,17,0,0,0.0%,-0.61%,0.00%,0.0%,NOV04_DYNAMIC,NOV04,DYNAMIC
DYNAMIC_OTM,7,7,4,100.0%,95.51%,95.51%,57.1%,OCT28_DYNAMIC,OCT28,DYNAMIC
DYNAMIC_ATM,10,8,5,80.0%,106.93%,106.93%,62.5%,OCT28_DYNAMIC,OCT28,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,OCT20_DYNAMIC,OCT20,DYNAMIC
DYNAMIC_ATM,13,12,7,92.3%,-19.96%,-19.96%,58.3%,OCT20_DYNAMIC,OCT20,DYNAMIC
