Expiry Week,Trading Days,Total Trades,Total P&L,Static P&L,Dynamic P&L,Avg Daily P&L
MAR02,1,6,69.70%,0.00%,69.70%,69.70%
FEB24,1,9,-5.55%,0.00%,-5.55%,-5.55%
JAN27,1,7,75.09%,0.00%,75.09%,75.09%
OCT20,0,0,0.00%,0.00%,0.00%,0.00%
DEC16,0,0,0.00%,0.00%,0.00%,0.00%
NOV25,0,0,0.00%,0.00%,0.00%,0.00%
JAN13,1,2,-31.72%,0.00%,-31.72%,-31.72%
FEB03,1,0,0.00%,0.00%,0.00%,0.00%
FEB10,1,6,-45.73%,0.00%,-45.73%,-45.73%
FEB17,1,7,73.40%,0.00%,73.40%,73.40%
DEC09,1,2,-1.32%,0.00%,-1.32%,-1.32%
OCT28,0,0,0.00%,0.00%,0.00%,0.00%
JAN20,1,17,327.07%,0.00%,327.07%,327.07%
NOV11,0,0,0.00%,0.00%,0.00%,0.00%
DEC02,0,0,0.00%,0.00%,0.00%,0.00%
NOV18,0,0,0.00%,0.00%,0.00%,0.00%
NOV04,0,0,0.00%,0.00%,0.00%,0.00%
