2026-03-02 16:46:55,959 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:55,961 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:55,968 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:55,969 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:55,970 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:55,982 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:55,982 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:55,983 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:55,990 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:55,991 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:55,995 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:56,010 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:56,012 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:56,019 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:56,019 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
2026-03-02 16:46:56,028 - INFO - Loaded expiry config from backtesting_config.yaml: {'DEC09': ['DEC09'], 'JAN13': ['JAN13'], 'JAN20': ['JAN20'], 'JAN27': ['JAN27'], 'FEB03': ['FEB03'], 'FEB10': ['FEB10'], 'FEB17': ['FEB17'], 'FEB24': ['FEB24'], 'MAR02': ['MAR02']}
