Strike Type,Total Trades,Filtered Trades,Winning Trades,Filtering Efficiency,Un-Filtered P&L,Filtered P&L,Win Rate,expiry_week,day_label,data_type
DYNAMIC_OTM,12,5,0,41.7%,-25.97%,-25.97%,0.0%,JAN27_DYNAMIC,JAN23,DYNAMIC
DYNAMIC_ATM,10,10,1,100.0%,-12.69%,-12.69%,10.0%,JAN27_DYNAMIC,JAN23,DYNAMIC
DYNAMIC_OTM,10,6,2,60.0%,-31.93%,-22.09%,33.3%,JAN27_DYNAMIC,JAN22,DYNAMIC
DYNAMIC_ATM,10,9,3,90.0%,-18.34%,-18.34%,33.3%,JAN27_DYNAMIC,JAN22,DYNAMIC
DYNAMIC_OTM,8,5,2,62.5%,-18.73%,-9.93%,40.0%,JAN27_DYNAMIC,JAN21,DYNAMIC
DYNAMIC_ATM,7,6,3,85.7%,-6.59%,-3.36%,50.0%,JAN27_DYNAMIC,JAN21,DYNAMIC
DYNAMIC_OTM,15,11,5,73.3%,31.92%,31.92%,45.5%,DEC16_DYNAMIC,DEC15,DYNAMIC
DYNAMIC_ATM,14,10,5,71.4%,40.05%,40.05%,50.0%,DEC16_DYNAMIC,DEC15,DYNAMIC
DYNAMIC_OTM,13,13,6,100.0%,13.40%,13.40%,46.2%,DEC16_DYNAMIC,DEC12,DYNAMIC
DYNAMIC_ATM,12,12,5,100.0%,5.20%,5.20%,41.7%,DEC16_DYNAMIC,DEC12,DYNAMIC
DYNAMIC_OTM,9,9,6,100.0%,74.51%,74.51%,66.7%,DEC16_DYNAMIC,DEC11,DYNAMIC
DYNAMIC_ATM,7,7,4,100.0%,40.16%,40.16%,57.1%,DEC16_DYNAMIC,DEC11,DYNAMIC
DYNAMIC_OTM,6,6,5,100.0%,83.10%,83.10%,83.3%,DEC16_DYNAMIC,DEC10,DYNAMIC
DYNAMIC_ATM,5,5,3,100.0%,59.74%,59.74%,60.0%,DEC16_DYNAMIC,DEC10,DYNAMIC
DYNAMIC_OTM,2,2,1,100.0%,0.69%,0.69%,50.0%,FEB10_DYNAMIC,FEB09,DYNAMIC
DYNAMIC_ATM,2,2,0,100.0%,-6.03%,-6.03%,0.0%,FEB10_DYNAMIC,FEB09,DYNAMIC
DYNAMIC_OTM,11,11,3,100.0%,18.63%,18.63%,27.3%,FEB10_DYNAMIC,FEB06,DYNAMIC
DYNAMIC_ATM,10,6,1,60.0%,-31.93%,-31.93%,16.7%,FEB10_DYNAMIC,FEB06,DYNAMIC
DYNAMIC_OTM,7,7,2,100.0%,-11.08%,-11.08%,28.6%,FEB10_DYNAMIC,FEB05,DYNAMIC
DYNAMIC_ATM,7,7,2,100.0%,-7.71%,-7.71%,28.6%,FEB10_DYNAMIC,FEB05,DYNAMIC
DYNAMIC_OTM,7,4,2,57.1%,-19.74%,-3.71%,50.0%,FEB10_DYNAMIC,FEB04,DYNAMIC
DYNAMIC_ATM,8,6,2,75.0%,-12.38%,-16.01%,33.3%,FEB10_DYNAMIC,FEB04,DYNAMIC
DYNAMIC_OTM,10,10,3,100.0%,-21.94%,-21.94%,30.0%,FEB24_DYNAMIC,FEB23,DYNAMIC
DYNAMIC_ATM,10,5,1,50.0%,-25.82%,-25.82%,20.0%,FEB24_DYNAMIC,FEB23,DYNAMIC
DYNAMIC_OTM,8,7,4,87.5%,45.46%,45.46%,57.1%,FEB24_DYNAMIC,FEB20,DYNAMIC
DYNAMIC_ATM,7,6,4,85.7%,33.39%,33.39%,66.7%,FEB24_DYNAMIC,FEB20,DYNAMIC
DYNAMIC_OTM,10,10,3,100.0%,-11.35%,-11.35%,30.0%,FEB24_DYNAMIC,FEB19,DYNAMIC
DYNAMIC_ATM,10,10,3,100.0%,-1.90%,-1.90%,30.0%,FEB24_DYNAMIC,FEB19,DYNAMIC
DYNAMIC_OTM,12,10,5,83.3%,38.40%,38.40%,50.0%,FEB24_DYNAMIC,FEB18,DYNAMIC
DYNAMIC_ATM,13,11,3,84.6%,15.55%,15.55%,27.3%,FEB24_DYNAMIC,FEB18,DYNAMIC
DYNAMIC_OTM,13,10,3,76.9%,-3.99%,-3.99%,30.0%,JAN20_DYNAMIC,JAN19,DYNAMIC
DYNAMIC_ATM,13,10,3,76.9%,0.77%,0.77%,30.0%,JAN20_DYNAMIC,JAN19,DYNAMIC
DYNAMIC_OTM,9,7,1,77.8%,49.75%,49.75%,14.3%,JAN20_DYNAMIC,JAN16,DYNAMIC
DYNAMIC_ATM,9,9,2,100.0%,41.86%,41.86%,22.2%,JAN20_DYNAMIC,JAN16,DYNAMIC
DYNAMIC_OTM,9,9,4,100.0%,16.07%,16.07%,44.4%,JAN20_DYNAMIC,JAN14,DYNAMIC
DYNAMIC_ATM,9,9,4,100.0%,15.28%,15.28%,44.4%,JAN20_DYNAMIC,JAN14,DYNAMIC
DYNAMIC_OTM,10,10,4,100.0%,273.25%,273.25%,40.0%,JAN13_DYNAMIC,JAN12,DYNAMIC
DYNAMIC_ATM,12,12,4,100.0%,197.53%,197.53%,33.3%,JAN13_DYNAMIC,JAN12,DYNAMIC
DYNAMIC_OTM,9,9,4,100.0%,-1.84%,-1.84%,44.4%,JAN13_DYNAMIC,JAN09,DYNAMIC
DYNAMIC_ATM,8,8,2,100.0%,-14.46%,-14.46%,25.0%,JAN13_DYNAMIC,JAN09,DYNAMIC
DYNAMIC_OTM,7,6,1,85.7%,-11.94%,-11.94%,16.7%,JAN13_DYNAMIC,JAN08,DYNAMIC
DYNAMIC_ATM,5,4,1,80.0%,-2.72%,-2.72%,25.0%,JAN13_DYNAMIC,JAN08,DYNAMIC
DYNAMIC_OTM,11,11,3,100.0%,-9.15%,-9.15%,27.3%,JAN13_DYNAMIC,JAN07,DYNAMIC
DYNAMIC_ATM,11,10,5,90.9%,24.77%,24.77%,50.0%,JAN13_DYNAMIC,JAN07,DYNAMIC
DYNAMIC_OTM,7,7,2,100.0%,23.82%,23.82%,28.6%,DEC02_DYNAMIC,DEC01,DYNAMIC
DYNAMIC_ATM,8,7,2,87.5%,24.22%,24.22%,28.6%,DEC02_DYNAMIC,DEC01,DYNAMIC
DYNAMIC_OTM,11,11,2,100.0%,-30.65%,-30.65%,18.2%,DEC02_DYNAMIC,NOV28,DYNAMIC
DYNAMIC_ATM,12,11,3,91.7%,-18.21%,-18.21%,27.3%,DEC02_DYNAMIC,NOV28,DYNAMIC
DYNAMIC_OTM,9,8,4,88.9%,4.11%,4.11%,50.0%,DEC02_DYNAMIC,NOV27,DYNAMIC
DYNAMIC_ATM,9,8,4,88.9%,4.28%,4.28%,50.0%,DEC02_DYNAMIC,NOV27,DYNAMIC
DYNAMIC_OTM,1,0,0,0.0%,4.16%,0.00%,0.0%,DEC02_DYNAMIC,NOV26,DYNAMIC
DYNAMIC_ATM,2,1,1,50.0%,8.90%,8.90%,100.0%,DEC02_DYNAMIC,NOV26,DYNAMIC
DYNAMIC_OTM,6,6,4,100.0%,119.83%,119.83%,66.7%,FEB17_DYNAMIC,FEB16,DYNAMIC
DYNAMIC_ATM,7,7,5,100.0%,109.29%,109.29%,71.4%,FEB17_DYNAMIC,FEB16,DYNAMIC
DYNAMIC_OTM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB17_DYNAMIC,FEB13,DYNAMIC
DYNAMIC_ATM,0,0,0,0.0%,0.00%,0.00%,0.0%,FEB17_DYNAMIC,FEB13,DYNAMIC
DYNAMIC_OTM,7,6,4,85.7%,38.40%,38.40%,66.7%,FEB17_DYNAMIC,FEB12,DYNAMIC
DYNAMIC_ATM,10,6,6,60.0%,55.48%,55.48%,100.0%,FEB17_DYNAMIC,FEB12,DYNAMIC
DYNAMIC_OTM,9,7,3,77.8%,10.85%,10.85%,42.9%,FEB17_DYNAMIC,FEB11,DYNAMIC
DYNAMIC_ATM,11,8,3,72.7%,-6.83%,-6.83%,37.5%,FEB17_DYNAMIC,FEB11,DYNAMIC
DYNAMIC_OTM,6,6,3,100.0%,113.36%,113.36%,50.0%,FEB03_DYNAMIC,FEB02,DYNAMIC
DYNAMIC_ATM,7,6,4,85.7%,74.37%,74.37%,66.7%,FEB03_DYNAMIC,FEB02,DYNAMIC
DYNAMIC_OTM,7,0,0,0.0%,-9.54%,0.00%,0.0%,FEB03_DYNAMIC,FEB01,DYNAMIC
DYNAMIC_ATM,7,1,0,14.3%,-20.16%,-8.69%,0.0%,FEB03_DYNAMIC,FEB01,DYNAMIC
DYNAMIC_OTM,10,0,0,0.0%,30.84%,0.00%,0.0%,FEB03_DYNAMIC,JAN30,DYNAMIC
DYNAMIC_ATM,9,3,0,33.3%,14.39%,-15.01%,0.0%,FEB03_DYNAMIC,JAN30,DYNAMIC
DYNAMIC_OTM,8,2,1,25.0%,-4.34%,-2.01%,50.0%,FEB03_DYNAMIC,JAN29,DYNAMIC
DYNAMIC_ATM,10,3,1,30.0%,-19.68%,-4.14%,33.3%,FEB03_DYNAMIC,JAN29,DYNAMIC
DYNAMIC_OTM,9,0,0,0.0%,-9.90%,0.00%,0.0%,FEB03_DYNAMIC,JAN28,DYNAMIC
DYNAMIC_ATM,10,0,0,0.0%,-16.62%,0.00%,0.0%,FEB03_DYNAMIC,JAN28,DYNAMIC
DYNAMIC_OTM,9,9,4,100.0%,176.40%,176.40%,44.4%,DEC09_DYNAMIC,DEC08,DYNAMIC
DYNAMIC_ATM,8,8,3,100.0%,109.73%,109.73%,37.5%,DEC09_DYNAMIC,DEC08,DYNAMIC
DYNAMIC_OTM,11,10,6,90.9%,69.80%,69.80%,60.0%,DEC09_DYNAMIC,DEC05,DYNAMIC
