Strike Type,Total Trades,Filtered Trades,Winning Trades,Filtering Efficiency,Un-Filtered P&L,Filtered P&L,Win Rate,expiry_week,day_label,data_type
DYNAMIC_OTM,7,7,4,100.0%,161.14%,161.14%,57.1%,FEB17_DYNAMIC,FEB16,DYNAMIC
DYNAMIC_ATM,8,8,4,100.0%,124.22%,124.22%,50.0%,FEB17_DYNAMIC,FEB16,DYNAMIC
DYNAMIC_OTM,11,0,0,0.0%,-11.11%,0.00%,0.0%,FEB17_DYNAMIC,FEB13,DYNAMIC
DYNAMIC_ATM,10,0,0,0.0%,-7.97%,0.00%,0.0%,FEB17_DYNAMIC,FEB13,DYNAMIC
DYNAMIC_OTM,8,2,1,25.0%,19.77%,4.10%,50.0%,FEB17_DYNAMIC,FEB12,DYNAMIC
DYNAMIC_ATM,5,1,1,20.0%,40.51%,11.49%,100.0%,FEB17_DYNAMIC,FEB12,DYNAMIC
DYNAMIC_OTM,10,9,3,90.0%,-0.93%,-0.93%,33.3%,FEB17_DYNAMIC,FEB11,DYNAMIC
DYNAMIC_ATM,8,7,1,87.5%,-11.92%,-11.92%,14.3%,FEB17_DYNAMIC,FEB11,DYNAMIC
DYNAMIC_OTM,3,3,1,100.0%,54.66%,54.66%,33.3%,FEB03_DYNAMIC,FEB02,DYNAMIC
DYNAMIC_ATM,3,3,2,100.0%,98.36%,98.36%,66.7%,FEB03_DYNAMIC,FEB02,DYNAMIC
DYNAMIC_OTM,5,2,0,40.0%,-11.02%,-8.09%,0.0%,FEB03_DYNAMIC,FEB01,DYNAMIC
DYNAMIC_ATM,5,3,0,60.0%,-14.16%,-14.66%,0.0%,FEB03_DYNAMIC,FEB01,DYNAMIC
DYNAMIC_OTM,9,8,1,88.9%,-38.16%,-38.16%,12.5%,FEB03_DYNAMIC,JAN30,DYNAMIC
DYNAMIC_ATM,6,6,1,100.0%,-30.46%,-30.46%,16.7%,FEB03_DYNAMIC,JAN30,DYNAMIC
DYNAMIC_OTM,11,7,2,63.6%,-13.41%,-6.43%,28.6%,FEB03_DYNAMIC,JAN29,DYNAMIC
DYNAMIC_ATM,8,6,1,75.0%,-9.88%,-16.08%,16.7%,FEB03_DYNAMIC,JAN29,DYNAMIC
DYNAMIC_OTM,8,4,0,50.0%,-22.56%,-26.00%,0.0%,FEB03_DYNAMIC,JAN28,DYNAMIC
DYNAMIC_ATM,8,4,0,50.0%,-31.85%,-26.00%,0.0%,FEB03_DYNAMIC,JAN28,DYNAMIC
DYNAMIC_OTM,9,9,2,100.0%,-25.45%,-25.45%,22.2%,FEB24_DYNAMIC,FEB23,DYNAMIC
DYNAMIC_ATM,9,9,2,100.0%,1.95%,1.95%,22.2%,FEB24_DYNAMIC,FEB23,DYNAMIC
DYNAMIC_OTM,4,4,3,100.0%,26.80%,26.80%,75.0%,FEB24_DYNAMIC,FEB20,DYNAMIC
DYNAMIC_ATM,5,4,3,80.0%,25.44%,25.44%,75.0%,FEB24_DYNAMIC,FEB20,DYNAMIC
DYNAMIC_OTM,9,5,2,55.6%,5.95%,14.79%,40.0%,FEB24_DYNAMIC,FEB19,DYNAMIC
DYNAMIC_ATM,8,5,3,62.5%,10.48%,25.88%,60.0%,FEB24_DYNAMIC,FEB19,DYNAMIC
DYNAMIC_OTM,11,10,6,90.9%,42.20%,42.20%,60.0%,FEB24_DYNAMIC,FEB18,DYNAMIC
DYNAMIC_ATM,9,9,5,100.0%,31.73%,31.73%,55.6%,FEB24_DYNAMIC,FEB18,DYNAMIC
DYNAMIC_OTM,8,8,2,100.0%,-19.44%,-19.44%,25.0%,MAR02_DYNAMIC,FEB27,DYNAMIC
DYNAMIC_ATM,9,9,2,100.0%,-20.43%,-20.43%,22.2%,MAR02_DYNAMIC,FEB27,DYNAMIC
DYNAMIC_OTM,10,10,3,100.0%,30.36%,30.36%,30.0%,MAR02_DYNAMIC,FEB26,DYNAMIC
DYNAMIC_ATM,12,11,4,91.7%,39.30%,39.30%,36.4%,MAR02_DYNAMIC,FEB26,DYNAMIC
DYNAMIC_OTM,10,10,4,100.0%,4.01%,4.01%,40.0%,MAR02_DYNAMIC,FEB25,DYNAMIC
DYNAMIC_ATM,9,9,4,100.0%,12.75%,12.75%,44.4%,MAR02_DYNAMIC,FEB25,DYNAMIC
DYNAMIC_OTM,8,7,2,87.5%,26.57%,26.57%,28.6%,JAN27_DYNAMIC,JAN23,DYNAMIC
DYNAMIC_ATM,7,7,1,100.0%,-34.67%,-34.67%,14.3%,JAN27_DYNAMIC,JAN23,DYNAMIC
DYNAMIC_OTM,7,5,2,71.4%,-18.88%,-4.38%,40.0%,JAN27_DYNAMIC,JAN22,DYNAMIC
DYNAMIC_ATM,5,4,2,80.0%,-4.73%,1.77%,50.0%,JAN27_DYNAMIC,JAN22,DYNAMIC
DYNAMIC_OTM,6,5,2,83.3%,103.98%,103.98%,40.0%,JAN27_DYNAMIC,JAN21,DYNAMIC
DYNAMIC_ATM,6,6,2,100.0%,88.43%,88.43%,33.3%,JAN27_DYNAMIC,JAN21,DYNAMIC
DYNAMIC_OTM,9,4,2,44.4%,-1.93%,16.27%,50.0%,JAN20_DYNAMIC,JAN19,DYNAMIC
DYNAMIC_ATM,10,5,2,50.0%,-13.64%,6.31%,40.0%,JAN20_DYNAMIC,JAN19,DYNAMIC
DYNAMIC_OTM,6,3,1,50.0%,41.63%,64.13%,33.3%,JAN20_DYNAMIC,JAN16,DYNAMIC
DYNAMIC_ATM,5,3,1,60.0%,34.72%,49.22%,33.3%,JAN20_DYNAMIC,JAN16,DYNAMIC
DYNAMIC_OTM,6,6,3,100.0%,33.91%,33.91%,50.0%,JAN20_DYNAMIC,JAN14,DYNAMIC
DYNAMIC_ATM,6,6,2,100.0%,30.65%,30.65%,33.3%,JAN20_DYNAMIC,JAN14,DYNAMIC
DYNAMIC_OTM,9,9,2,100.0%,138.99%,138.99%,22.2%,JAN13_DYNAMIC,JAN12,DYNAMIC
DYNAMIC_ATM,11,5,0,45.5%,-34.93%,-34.93%,0.0%,JAN13_DYNAMIC,JAN12,DYNAMIC
DYNAMIC_OTM,7,3,2,42.9%,-1.68%,-2.06%,66.7%,JAN13_DYNAMIC,JAN09,DYNAMIC
DYNAMIC_ATM,5,4,1,80.0%,-20.37%,-13.87%,25.0%,JAN13_DYNAMIC,JAN09,DYNAMIC
DYNAMIC_OTM,10,4,1,40.0%,35.14%,41.80%,25.0%,JAN13_DYNAMIC,JAN08,DYNAMIC
DYNAMIC_ATM,8,4,1,50.0%,42.57%,37.63%,25.0%,JAN13_DYNAMIC,JAN08,DYNAMIC
DYNAMIC_OTM,12,10,7,83.3%,48.01%,48.01%,70.0%,JAN13_DYNAMIC,JAN07,DYNAMIC
DYNAMIC_ATM,12,11,5,91.7%,16.80%,16.80%,45.5%,JAN13_DYNAMIC,JAN07,DYNAMIC
DYNAMIC_OTM,8,0,0,0.0%,14.47%,0.00%,0.0%,FEB10_DYNAMIC,FEB09,DYNAMIC
DYNAMIC_ATM,11,0,0,0.0%,-24.83%,0.00%,0.0%,FEB10_DYNAMIC,FEB09,DYNAMIC
DYNAMIC_OTM,10,10,2,100.0%,22.57%,22.57%,20.0%,FEB10_DYNAMIC,FEB06,DYNAMIC
DYNAMIC_ATM,7,7,0,100.0%,-40.46%,-40.46%,0.0%,FEB10_DYNAMIC,FEB06,DYNAMIC
DYNAMIC_OTM,6,6,3,100.0%,-9.84%,-9.84%,50.0%,FEB10_DYNAMIC,FEB05,DYNAMIC
DYNAMIC_ATM,7,7,3,100.0%,-7.61%,-7.61%,42.9%,FEB10_DYNAMIC,FEB05,DYNAMIC
DYNAMIC_OTM,5,5,2,100.0%,-9.11%,-9.11%,40.0%,FEB10_DYNAMIC,FEB04,DYNAMIC
DYNAMIC_ATM,6,5,2,83.3%,-10.59%,-10.59%,40.0%,FEB10_DYNAMIC,FEB04,DYNAMIC
DYNAMIC_OTM,6,5,3,83.3%,77.72%,77.72%,60.0%,MAR10_DYNAMIC,MAR05,DYNAMIC
DYNAMIC_ATM,5,4,3,80.0%,78.84%,78.84%,75.0%,MAR10_DYNAMIC,MAR05,DYNAMIC
