Expiry Week,Trading Days,Total Trades,Total P&L,Static P&L,Dynamic P&L,Avg Daily P&L
FEB10,4,32,-24.39%,0.00%,-24.39%,-6.10%
DEC02,4,38,8.10%,0.00%,8.10%,2.03%
JAN27,3,30,-62.20%,0.00%,-62.20%,-20.73%
JAN20,3,48,89.31%,0.00%,89.31%,29.77%
FEB03,5,12,175.29%,0.00%,175.29%,35.06%
NOV25,0,0,0.00%,0.00%,0.00%,0.00%
NOV11,0,0,0.00%,0.00%,0.00%,0.00%
FEB24,4,53,-26.90%,0.00%,-26.90%,-6.73%
FEB17,4,28,183.45%,0.00%,183.45%,45.86%
JAN13,4,50,503.25%,0.00%,503.25%,125.81%
DEC16,4,55,344.87%,0.00%,344.87%,86.22%
DEC09,4,51,438.18%,0.00%,438.18%,109.54%
NOV04,0,0,0.00%,0.00%,0.00%,0.00%
OCT28,0,0,0.00%,0.00%,0.00%,0.00%
NOV18,0,0,0.00%,0.00%,0.00%,0.00%
OCT20,0,0,0.00%,0.00%,0.00%,0.00%
