candle_time,symbol,open,high,low,close,supertrend,supertrend_dir,demarker,fast_ma,slow_ma,stoch_k,stoch_d,wpr_9,wpr_28
2026-03-09T11:08:00,NIFTY2631023900CE,175.55,179.3,174.45,175.65,200.73,-1.0,0.42,181.99,184.59,3.09,5.97,-95.54,-57.41
2026-03-09T11:09:00,NIFTY2631023900CE,175.8,176.5,169.95,171.6,196.34,-1.0,0.4,181.18,182.38,0.0,2.92,-92.14,-62.53
2026-03-09T11:10:00,NIFTY2631023900CE,172.7,175.5,159.1,161.9,192.2,-1.0,0.27,178.7,179.22,0.0,1.03,-91.21,-74.81
2026-03-09T11:11:00,NIFTY2631023900CE,161.1,161.2,151.1,154.65,181.26,-1.0,0.16,175.63,177.02,0.0,0.0,-90.46,-83.99
2026-03-09T11:12:00,NIFTY2631023900CE,154.75,156.4,150.4,153.75,177.5,-1.0,0.19,172.09,174.25,0.0,0.0,-91.16,-85.13
2026-03-09T11:13:00,NIFTY2631023900CE,154.3,167.35,153.1,167.05,177.5,-1.0,0.33,170.12,172.86,17.68,5.89,-55.72,-68.29
2026-03-09T11:14:00,NIFTY2631023900CE,165.55,169.0,161.4,167.05,177.5,-1.0,0.36,168.26,171.17,35.36,17.68,-55.72,-68.29
2026-03-09T11:15:00,NIFTY2631023900CE,166.55,166.55,157.95,159.15,177.5,-1.0,0.34,165.44,168.84,45.33,32.79,-71.96,-78.29
2026-03-09T11:16:00,NIFTY2631023900CE,159.45,159.75,151.5,157.65,177.5,-1.0,0.26,163.16,166.46,36.23,38.97,-74.91,-80.19
2026-03-09T11:17:00,NIFTY2631023900CE,156.65,164.25,153.55,161.25,177.5,-1.0,0.33,161.56,164.35,32.43,38.0,-58.43,-76.6
2026-03-09T11:18:00,NIFTY2631023900CE,161.25,175.0,161.25,174.9,177.5,-1.0,0.41,161.93,164.05,52.98,40.55,-2.39,-65.3
2026-03-09T11:19:00,NIFTY2631023900CE,175.4,177.8,172.7,173.35,177.5,-1.0,0.44,163.2,163.85,73.07,52.83,-16.24,-67.49
2026-03-09T11:20:00,NIFTY2631023900CE,173.75,179.85,171.0,179.75,151.55,1.0,0.43,165.99,164.59,92.53,72.86,-0.34,-58.43
2026-03-09T11:21:00,NIFTY2631023900CE,179.4,184.0,176.3,181.55,156.73,1.0,0.48,169.08,166.37,95.34,86.98,-7.54,-55.88
2026-03-09T11:22:00,NIFTY2631023900CE,182.55,189.0,182.5,186.1,162.81,1.0,0.54,171.19,169.23,100.0,95.96,-7.73,-49.43
2026-03-09T11:23:00,NIFTY2631023900CE,184.8,192.75,184.15,185.3,165.66,1.0,0.59,173.22,172.1,99.05,98.13,-18.06,-50.57
2026-03-09T11:24:00,NIFTY2631023900CE,184.8,184.85,177.6,181.3,165.66,1.0,0.63,175.68,173.4,93.34,97.46,-27.76,-56.23
2026-03-09T11:25:00,NIFTY2631023900CE,181.3,184.8,179.8,180.55,165.66,1.0,0.71,178.23,174.62,86.74,93.04,-31.12,-46.35
2026-03-09T11:26:00,NIFTY2631023900CE,181.4,183.0,173.65,181.95,165.66,1.0,0.65,180.53,176.7,81.09,87.05,-34.29,-38.08
2026-03-09T11:27:00,NIFTY2631023900CE,182.2,183.95,180.25,181.4,165.66,1.0,0.59,181.25,178.85,79.25,82.36,-52.18,-39.16
2026-03-09T11:28:00,NIFTY2631023900CE,180.7,203.2,180.7,202.5,167.97,1.0,0.69,184.49,182.6,85.86,82.07,-2.17,-1.33
2026-03-09T11:29:00,NIFTY2631023900CE,201.75,202.65,191.0,195.55,172.33,1.0,0.72,186.24,184.48,84.89,83.33,-25.89,-14.49
2026-03-09T11:30:00,NIFTY2631023900CE,196.6,201.9,193.55,201.6,173.59,1.0,0.79,188.47,187.05,88.0,86.25,-5.41,-3.03
2026-03-09T11:31:00,NIFTY2631023900CE,201.45,205.65,200.0,200.5,179.69,1.0,0.78,190.07,188.94,79.15,84.01,-16.09,-9.32
2026-03-09T11:32:00,NIFTY2631023900CE,199.15,200.6,193.25,198.25,179.69,1.0,0.66,191.51,190.45,73.54,80.23,-23.13,-13.39
2026-03-09T11:33:00,NIFTY2631023900CE,198.9,200.25,187.4,191.6,179.69,1.0,0.59,192.66,190.95,47.28,66.66,-43.91,-25.43
2026-03-09T11:34:00,NIFTY2631023900CE,192.0,202.65,191.9,199.6,179.69,1.0,0.61,194.77,192.25,37.43,52.75,-18.91,-10.95
2026-03-09T11:35:00,NIFTY2631023900CE,199.25,206.5,199.05,201.55,179.69,1.0,0.61,196.95,194.1,34.62,39.78,-18.86,-8.82
2026-03-09T11:36:00,NIFTY2631023900CE,201.55,203.55,196.95,201.65,179.69,1.0,0.55,199.2,196.01,49.47,40.5,-18.8,-8.65
2026-03-09T11:37:00,NIFTY2631023900CE,201.55,209.2,198.85,205.75,180.94,1.0,0.57,199.56,198.18,58.36,47.48,-15.83,-5.87
2026-03-09T11:38:00,NIFTY2631023900CE,206.3,210.6,204.6,207.45,185.33,1.0,0.64,200.88,200.55,66.97,58.27,-13.58,-5.23
2026-03-09T11:39:00,NIFTY2631023900CE,207.95,217.05,205.75,211.85,188.53,1.0,0.68,202.02,201.4,81.55,68.96,-17.54,-7.8
