#DATE: 2026-02-03
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2620325800PE,09:54:01,140.8,09:55:00,153.35,8.91,EXECUTED,MA_TRAILING_EXIT
NIFTY2620325750CE,10:56:01,102.3,10:57:02,105.0,2.64,EXECUTED,FORCE_EXIT
NIFTY2620325800PE,11:08:01,95,11:17:42,87.55,-7.84,EXECUTED,SL
NIFTY2620325800CE,11:15:01,74.7,11:15:56,68.35,-8.5,EXECUTED,SL
NIFTY2620325750CE,11:21:01,96.78,11:37:10,131.35,35.73,EXECUTED,FORCE_EXIT
NIFTY2620325900PE,11:48:01,112.9,11:49:34,110.8,-1.86,EXECUTED,FORCE_EXIT
NIFTY2620325800CE,11:55:01,91.55,11:55:35,94.8,3.55,EXECUTED,FORCE_EXIT
NIFTY2620325750CE,12:53:01,81.05,12:54:00,84.3,4.01,EXECUTED,FORCE_EXIT
NIFTY2620325800PE,12:59:02,64,13:01:03,58.55,-8.52,EXECUTED,SL
NIFTY2620325800PE,13:22:01,61.85,13:22:27,57.15,-7.6,EXECUTED,SL
NIFTY2620325750CE,13:24:01,74.3,13:25:44,68.45,-7.87,EXECUTED,SL
NIFTY2620325750CE,14:07:01,58.8,14:07:42,54.35,-7.57,EXECUTED,SL
NIFTY2620325750CE,14:32:01,49.15,14:32:08,45.0,-8.44,EXECUTED,SL
NIFTY2620325800PE,14:40:01,48.65,14:43:30,66.9,37.51,EXECUTED,FORCE_EXIT
NIFTY2620325700CE,14:45:01,65.5,14:47:01,72.75,11.07,EXECUTED,MA_TRAILING_EXIT
