#DATE: 2026-01-12
symbol,entry_time,entry_price,exit_time,exit_price,pnl_percent,trade_status,exit_reason
NIFTY2611325550PE,09:33:10,72.8,09:33:54,67.05,-7.9,EXECUTED,SL
NIFTY2611325550PE,09:40:17,65.45,,,,PENDING,
NIFTY2611325600PE,10:07:01,83.02,,,,PENDING,
NIFTY2611325550CE,10:20:47,109.65,,,,PENDING,
NIFTY2611325600PE,10:23:12,82.27,,,,PENDING,
NIFTY2611325600PE,10:31:01,79.55,,,,PENDING,
NIFTY2611325550CE,10:41:37,100.1,10:42:20,92.55,-7.54,EXECUTED,SL
NIFTY2611325700CE,13:09:05,98.65,,,,PENDING,
NIFTY2611325750PE,13:18:01,92.32,,,,PENDING,
NIFTY2611325650CE,13:31:01,122.05,,,,PENDING,
NIFTY2611325750PE,13:57:01,76.9,,,,PENDING,
